Geneid	a10	a15	a16	a17	a18	a19	a20	a9
ENSMUSG00000027219	181	355	638	539	526	316	318	183
ENSMUSG00000083645	0	1	0	0	0	0	1	0
ENSMUSG00000081219	24	30	27	55	59	23	43	10
ENSMUSG00000062175	4	0	0	1	0	4	6	0
ENSMUSG00000102323	4	1	2	0	4	4	6	0
ENSMUSG00000079071	0	2	0	2	5	3	0	6
ENSMUSG00000074629	58	6	26	8	21	40	53	58
ENSMUSG00002075925	0	3	3	2	0	4	4	3
ENSMUSG00000027637	1378	2379	2180	2261	2520	1312	1631	1206
ENSMUSG00000040549	3060	2259	3519	2950	3135	3141	4460	2645
ENSMUSG00000077221	0	0	0	0	0	0	0	0
ENSMUSG00000027636	14	74	110	104	73	23	30	45
ENSMUSG00000080880	1	0	0	0	0	0	2	0
ENSMUSG00000083831	0	0	0	0	0	0	0	0
ENSMUSG00000081616	0	0	0	0	0	0	0	0
ENSMUSG00000056486	231	84	64	70	64	185	263	174
ENSMUSG00000085838	0	0	0	0	0	0	0	0
ENSMUSG00000081062	0	0	0	0	0	0	0	0
ENSMUSG00000087017	43	39	33	29	24	30	39	45
ENSMUSG00000027249	50	6	0	22	0	76	38	6
ENSMUSG00000083832	3	2	0	0	3	2	2	3
ENSMUSG00000005804	1802	1457	1739	1441	1483	2277	2296	1809
ENSMUSG00000075040	890	455	497	406	471	669	795	775
ENSMUSG00000005803	17586	17921	18979	16836	16691	16202	18850	21322
ENSMUSG00000084372	0	0	0	0	0	0	0	0
ENSMUSG00000027634	3249	1760	2006	1885	1796	3465	4153	2492
ENSMUSG00002074935	0	0	0	0	0	0	0	0
ENSMUSG00000082163	70	70	94	97	115	52	82	37
ENSMUSG00000010505	72	14	22	36	20	85	129	82
ENSMUSG00000036591	6516	3121	4929	4315	4189	5789	7620	4924
ENSMUSG00000085206	0	3	0	0	0	0	0	0
ENSMUSG00000086821	0	0	0	0	0	0	0	0
ENSMUSG00000087219	0	0	0	0	0	0	0	0
ENSMUSG00002075392	0	0	0	0	0	0	0	0
ENSMUSG00000026679	66	14	14	14	19	63	54	54
ENSMUSG00000027635	296	338	508	478	591	303	453	304
ENSMUSG00002076042	0	0	0	0	0	0	0	0
ENSMUSG00000027589	3154	839	1056	927	883	2765	2820	2118
ENSMUSG00000055485	863	201	335	286	191	698	1076	759
ENSMUSG00000074628	165	193	255	206	127	149	130	171
ENSMUSG00000038628	1748	1725	1869	1608	1800	1754	2152	1413
ENSMUSG00000083397	16	4	4	2	2	12	4	6
ENSMUSG00000048550	398	212	274	255	269	451	507	378
ENSMUSG00000084071	0	0	0	0	0	0	2	0
ENSMUSG00000085680	0	0	0	0	0	0	0	0
ENSMUSG00000098505	0	0	0	0	0	0	0	0
ENSMUSG00000027247	5156	4000	4446	4186	4051	5334	6890	4344
ENSMUSG00000045967	8	0	6	4	2	7	16	12
ENSMUSG00000080846	0	0	0	0	0	0	0	0
ENSMUSG00000077572	0	0	0	0	0	0	0	0
ENSMUSG00000081467	0	0	0	0	0	0	0	0
ENSMUSG00000025716	390	22	35	30	18	369	415	99
ENSMUSG00000082516	2	4	2	6	2	8	0	6
ENSMUSG00000083863	220	136	140	148	165	524	259	278
ENSMUSG00000083563	1635	515	505	445	634	2509	1711	1705
ENSMUSG00000082884	10	6	10	0	16	34	14	12
ENSMUSG00000026787	112	68	46	34	38	100	120	71
ENSMUSG00000106199	0	0	0	0	0	0	0	0
ENSMUSG00002076064	0	0	0	0	0	0	0	0
ENSMUSG00000083453	0	0	0	0	0	0	0	0
ENSMUSG00000085353	0	1	0	0	0	0	0	0
ENSMUSG00000083057	0	0	0	0	0	0	0	0
ENSMUSG00000026786	344	766	887	853	724	418	553	363
ENSMUSG00000069136	2	3	2	2	0	6	11	8
ENSMUSG00000027244	2457	1490	2015	1617	1391	2420	2973	1795
ENSMUSG00000027243	493	252	311	245	208	575	661	411
ENSMUSG00000082457	4	0	0	0	6	3	0	6
ENSMUSG00000027639	4915	13534	20207	14358	22957	3683	4285	4364
ENSMUSG00000026784	905	1289	1467	1277	1405	1045	1142	825
ENSMUSG00002076724	0	0	0	0	0	2	2	0
ENSMUSG00000081861	0	2	2	2	0	4	0	2
ENSMUSG00000027641	1774	1414	1977	1823	1717	1738	2264	1531
ENSMUSG00000084113	0	0	2	2	2	0	0	2
ENSMUSG00000027104	2353	1671	1999	1566	1704	2466	3048	2134
ENSMUSG00000074627	32	10	8	8	3	11	18	18
ENSMUSG00002074852	0	0	0	0	0	0	0	0
ENSMUSG00000018770	13216	23325	23309	20768	22006	12996	13208	13047
ENSMUSG00000083072	0	0	0	0	0	0	0	0
ENSMUSG00000085387	0	0	0	0	0	0	0	0
ENSMUSG00000099502	0	0	0	0	0	0	0	0
ENSMUSG00000084791	0	0	0	0	0	0	0	0
ENSMUSG00000085405	0	0	0	0	0	0	0	0
ENSMUSG00000027642	10580	15698	16771	14778	14972	12694	16116	9063
ENSMUSG00000027643	0	1	0	0	0	0	0	2
ENSMUSG00000063019	944	953	981	986	943	971	1042	706
ENSMUSG00000009207	704	792	933	795	1241	601	775	624
ENSMUSG00000087205	0	0	0	0	0	0	0	0
ENSMUSG00000075279	16	17	4	8	16	6	4	10
ENSMUSG00000119655	0	0	0	0	0	0	0	0
ENSMUSG00000082973	0	0	0	0	0	0	0	0
ENSMUSG00000001815	149	18	50	53	127	105	158	115
ENSMUSG00000001819	2276	592	1143	1138	3215	1455	2080	1549
ENSMUSG00000001823	186	16	20	24	48	190	244	182
ENSMUSG00000040506	1779	1048	1787	1330	1289	1912	2439	1842
ENSMUSG00000042499	395	35	123	53	191	343	323	411
ENSMUSG00000075036	0	0	0	0	0	0	0	1
ENSMUSG00000099521	2	0	0	0	1	0	1	1
ENSMUSG00000040495	19	4	16	12	21	24	26	44
ENSMUSG00000050368	392	22	96	56	89	292	316	328
ENSMUSG00000086077	13	1	1	2	3	13	18	52
ENSMUSG00000100209	6	1	2	1	1	17	7	7
ENSMUSG00000043342	313	70	125	101	22	324	227	385
ENSMUSG00002076500	0	0	1	0	0	0	0	0
ENSMUSG00000052371	40	9	24	12	4	53	31	41
ENSMUSG00000027102	401	133	237	145	59	476	414	415
ENSMUSG00000079277	18	0	3	0	4	5	10	27
ENSMUSG00000027646	6633	5024	5854	4511	4701	6713	7013	6299
ENSMUSG00000081740	2	8	2	14	10	4	0	8
ENSMUSG00000082329	0	0	0	1	2	0	6	1
ENSMUSG00000087445	53	10	10	16	51	25	35	42
ENSMUSG00000101174	77	6	56	36	2	95	89	113
ENSMUSG00000065500	3	0	0	0	0	0	0	0
ENSMUSG00000100642	24	1	10	7	0	11	21	38
ENSMUSG00000075277	38	4	2	2	0	15	16	10
ENSMUSG00000067787	2473	1572	1612	1430	1735	1989	2373	1838
ENSMUSG00000086559	0	0	0	0	0	2	1	0
ENSMUSG00000042448	4	0	2	2	0	14	12	0
ENSMUSG00000027099	2206	2854	2892	2766	3009	2356	2649	2112
ENSMUSG00000067786	352	105	102	121	71	217	255	229
ENSMUSG00000081156	2	0	0	0	0	0	0	4
ENSMUSG00000083837	0	0	0	0	0	0	4	0
ENSMUSG00002075463	0	0	0	0	0	0	0	0
ENSMUSG00000027239	124	73	51	78	52	146	80	91
ENSMUSG00002076952	0	0	0	0	0	0	0	0
ENSMUSG00000077290	0	0	0	0	0	0	0	0
ENSMUSG00000084417	0	0	0	0	0	0	0	0
ENSMUSG00000027200	2337	1994	3158	2299	1785	2568	3139	2658
ENSMUSG00000087333	21	2	4	0	4	5	14	8
ENSMUSG00000047363	10	4	4	2	4	10	6	6
ENSMUSG00000085496	0	0	0	0	0	0	0	0
ENSMUSG00000086405	3	0	1	0	0	0	4	0
ENSMUSG00000086954	0	0	0	0	0	0	0	0
ENSMUSG00000087268	0	0	0	0	0	0	0	0
ENSMUSG00000087450	2	0	2	0	12	2	2	4
ENSMUSG00000086044	0	0	0	0	0	0	0	0
ENSMUSG00000081406	148	232	186	214	202	132	210	138
ENSMUSG00000093091	0	0	0	0	0	0	0	0
ENSMUSG00000075276	2	0	0	0	0	0	0	2
ENSMUSG00000115959	2	0	0	0	0	0	0	1
ENSMUSG00000102473	0	0	0	0	0	0	0	0
ENSMUSG00000087504	0	0	0	0	0	0	0	0
ENSMUSG00000086576	0	0	0	0	0	0	0	0
ENSMUSG00000082152	12	73	71	104	74	15	16	17
ENSMUSG00000093242	0	0	0	0	0	0	0	0
ENSMUSG00000027649	951	1155	1289	1232	1196	1003	1160	870
ENSMUSG00000062846	7	8	14	15	17	12	29	5
ENSMUSG00000037843	186	152	150	139	96	210	307	192
ENSMUSG00000035183	36	17	23	19	24	30	29	52
ENSMUSG00000027650	909	674	754	528	679	1017	1404	849
ENSMUSG00000059005	15991	22024	27162	24416	28956	18614	19814	15656
ENSMUSG00000015839	9369	5360	6457	5147	5073	8232	10694	9324
ENSMUSG00002075749	5	0	2	0	1	2	0	8
ENSMUSG00000087527	0	0	0	0	0	0	0	0
ENSMUSG00000081833	2	0	4	4	0	3	2	0
ENSMUSG00000082187	0	0	0	0	2	0	0	0
ENSMUSG00000044320	135	89	130	112	51	105	221	91
ENSMUSG00000085491	0	0	0	0	0	0	0	2
ENSMUSG00000027651	2007	1544	2101	1896	1873	2038	2438	1892
ENSMUSG00000100860	4	0	1	4	1	12	2	4
ENSMUSG00000026857	579	702	746	794	693	573	695	472
ENSMUSG00000037820	3418	18963	19773	15058	18351	3984	5401	3913
ENSMUSG00000092283	0	0	0	0	0	0	0	0
ENSMUSG00000039483	721	977	1092	950	1055	722	762	757
ENSMUSG00000039476	64	91	18	36	34	68	112	38
ENSMUSG00000042410	3166	3606	3674	3593	3450	3109	3891	2866
ENSMUSG00000075273	513	173	230	217	198	801	832	444
ENSMUSG00000050737	533	764	585	629	816	505	737	456
ENSMUSG00000075272	9	7	1	4	2	8	8	11
ENSMUSG00000084143	2	0	0	0	0	0	2	0
ENSMUSG00000075271	156	134	201	108	102	295	300	179
ENSMUSG00000037813	136	83	98	66	42	172	192	160
ENSMUSG00000078957	0	0	0	0	0	0	0	0
ENSMUSG00000098765	0	0	0	0	0	0	0	1
ENSMUSG00000026848	2220	1548	1668	1559	1687	2079	2406	1704
ENSMUSG00000075270	85	278	555	369	152	80	66	96
ENSMUSG00002076140	0	0	0	0	0	0	0	0
ENSMUSG00000056436	4	0	2	3	5	4	7	10
ENSMUSG00000026849	1376	1616	1615	1493	1559	1295	1678	1396
ENSMUSG00000042369	1420	1530	1575	1609	1486	1462	1647	1468
ENSMUSG00000026851	1479	1752	1728	1562	1784	1629	1680	1248
ENSMUSG00000040479	7264	6397	7564	6406	5700	6821	8434	6611
ENSMUSG00000058835	5806	5792	6739	5862	6312	5997	7158	4959
ENSMUSG00000052922	0	0	0	2	0	0	0	0
ENSMUSG00000098651	6	1	0	0	0	4	2	4
ENSMUSG00000027201	769	936	1119	948	1026	764	715	620
ENSMUSG00000095332	231	17	32	27	36	184	162	212
ENSMUSG00000083650	1	4	2	2	4	2	0	0
ENSMUSG00000118793	2	0	0	0	0	0	0	0
ENSMUSG00000087056	2	0	0	0	0	0	0	0
ENSMUSG00000074872	0	0	0	2	0	4	0	0
ENSMUSG00000016024	277	771	746	976	1380	228	257	286
ENSMUSG00000027230	10621	4857	5780	5349	5227	15624	18124	5480
ENSMUSG00000087197	4	3	0	1	6	10	13	5
ENSMUSG00000087018	0	0	0	0	2	1	0	0
ENSMUSG00000065362	0	0	0	0	0	0	0	0
ENSMUSG00000064995	0	0	0	0	0	0	0	0
ENSMUSG00000042359	939	147	186	183	140	735	1169	625
ENSMUSG00002075085	0	0	0	0	0	0	0	0
ENSMUSG00000002731	1467	1205	1144	1148	1209	1412	1560	1240
ENSMUSG00000075267	0	0	0	4	0	0	4	2
ENSMUSG00000002732	336	214	144	159	146	305	362	249
ENSMUSG00000002733	2737	1657	1607	1581	1826	2184	2720	2635
ENSMUSG00000026854	751	445	607	567	486	728	836	611
ENSMUSG00000027202	2	0	0	0	0	4	2	1
ENSMUSG00000086416	2	0	0	0	0	0	0	0
ENSMUSG00000027203	1065	2119	1922	1812	2171	1039	1308	898
ENSMUSG00000085797	0	0	0	0	0	0	0	0
ENSMUSG00000087682	0	0	0	0	0	0	0	0
ENSMUSG00000027204	2167	1222	1595	1385	1454	2601	3737	1998
ENSMUSG00000053615	4	2	0	0	0	9	2	3
ENSMUSG00000068394	517	305	512	378	364	477	605	498
ENSMUSG00000027654	918	883	1107	1017	1054	868	1062	578
ENSMUSG00000035109	52	18	34	38	12	78	50	43
ENSMUSG00000091337	1011	656	655	687	618	1169	1310	689
ENSMUSG00000026781	3696	1909	2271	1979	1912	3560	4235	3231
ENSMUSG00000058318	1864	703	967	731	661	1886	2194	1375
ENSMUSG00000088639	0	0	0	0	0	0	0	0
ENSMUSG00000083951	0	0	0	2	0	1	0	0
ENSMUSG00000026779	525	337	511	467	398	564	858	338
ENSMUSG00000081730	0	0	0	0	0	4	2	0
ENSMUSG00000035093	4616	4045	6080	4924	4577	4074	4716	5425
ENSMUSG00000026775	5516	4745	5745	5287	5234	6393	7275	5024
ENSMUSG00000081648	19	2	7	4	0	18	11	7
ENSMUSG00000027655	859	710	785	705	753	930	1191	733
ENSMUSG00002074934	0	0	0	0	0	0	0	0
ENSMUSG00000026774	2	0	0	0	2	0	0	1
ENSMUSG00000119093	0	0	0	0	0	0	0	0
ENSMUSG00000084098	10	0	4	0	4	4	6	2
ENSMUSG00000083913	0	0	0	0	0	0	0	0
ENSMUSG00000083451	0	0	0	0	0	0	0	0
ENSMUSG00000081215	0	0	0	0	0	0	0	0
ENSMUSG00000069132	0	4	0	2	0	0	2	2
ENSMUSG00000102704	10	4	4	2	6	13	14	12
ENSMUSG00000086558	0	0	0	0	0	0	0	0
ENSMUSG00000085198	0	0	0	0	0	0	0	0
ENSMUSG00000083329	0	0	0	0	0	0	0	0
ENSMUSG00000086653	2	6	5	4	6	4	6	9
ENSMUSG00000074623	10	4	8	1	5	12	14	23
ENSMUSG00000074622	1171	1662	2004	1538	1439	1093	1299	950
ENSMUSG00000078955	0	0	0	0	0	0	0	0
ENSMUSG00002076125	0	0	0	0	0	0	0	0
ENSMUSG00000026771	1128	491	591	535	688	855	1067	961
ENSMUSG00000070544	4025	4857	6651	5401	5749	4658	4845	4019
ENSMUSG00000081519	0	0	0	0	0	0	0	0
ENSMUSG00000083729	0	0	0	0	0	0	0	0
ENSMUSG00002075040	0	0	0	0	0	0	0	0
ENSMUSG00000083373	0	0	4	0	0	0	0	2
ENSMUSG00000027206	3138	2936	2990	2836	3210	3378	4307	2880
ENSMUSG00000026986	188	40	40	48	38	154	166	141
ENSMUSG00000061809	0	0	0	0	0	0	0	0
ENSMUSG00000085999	0	0	4	0	3	4	0	6
ENSMUSG00000027207	2096	1788	1799	1882	1486	2113	2381	1539
ENSMUSG00000016933	1449	987	1238	1057	905	1221	1728	1248
ENSMUSG00000098889	4	0	0	0	2	0	6	7
ENSMUSG00000035877	760	263	388	358	299	654	845	614
ENSMUSG00000085303	6	2	0	5	1	2	10	2
ENSMUSG00000081854	0	0	0	0	0	0	0	0
ENSMUSG00000027209	0	0	2	0	2	1	5	0
ENSMUSG00000040434	699	419	453	490	374	630	794	544
ENSMUSG00000027208	383	220	216	290	368	350	504	350
ENSMUSG00000118995	0	0	0	0	0	0	0	0
ENSMUSG00000026981	1291	2832	2493	3664	4259	1312	1666	852
ENSMUSG00000023330	184	223	209	242	257	232	281	220
ENSMUSG00000090353	0	0	0	0	0	0	0	0
ENSMUSG00002076287	0	0	0	0	0	0	0	0
ENSMUSG00000027222	972	987	969	1011	1026	1044	980	970
ENSMUSG00000044916	62	41	46	40	50	35	44	53
ENSMUSG00000027412	1585	1438	1705	1550	1507	1541	1808	1619
ENSMUSG00000050700	20	0	0	10	8	15	18	24
ENSMUSG00000087147	0	0	0	0	0	0	0	0
ENSMUSG00000026979	3745	3337	4096	3815	3512	3554	4106	3754
ENSMUSG00000027223	547	184	247	225	132	605	760	461
ENSMUSG00000099093	0	0	0	0	0	0	0	0
ENSMUSG00000057133	2706	626	1205	906	755	2152	3052	1720
ENSMUSG00000077795	0	0	0	0	0	0	0	0
ENSMUSG00000109780	47	4	1	0	2	30	47	18
ENSMUSG00000067745	0	0	0	0	0	0	0	0
ENSMUSG00000085469	0	0	0	0	0	0	0	0
ENSMUSG00000081099	0	0	0	0	0	0	0	0
ENSMUSG00000081151	2	0	0	4	0	0	0	4
ENSMUSG00000087031	0	0	0	0	0	0	0	0
ENSMUSG00000083374	0	0	0	2	0	0	0	0
ENSMUSG00000100943	0	0	0	0	0	0	0	0
ENSMUSG00000060131	22	169	176	241	196	32	34	34
ENSMUSG00000026976	106	293	297	262	164	200	226	85
ENSMUSG00000085057	34	19	59	53	25	28	32	32
ENSMUSG00000099120	0	0	0	0	0	0	0	0
ENSMUSG00000082307	6	15	58	38	21	11	19	4
ENSMUSG00000075415	4470	1924	2976	2362	2569	4027	4297	4250
ENSMUSG00000085330	0	0	0	0	0	0	0	0
ENSMUSG00000102591	2	0	0	0	0	0	0	0
ENSMUSG00000084241	0	2	1	0	0	0	2	0
ENSMUSG00002076315	0	0	0	0	0	0	0	0
ENSMUSG00000027359	298	232	273	211	214	234	258	773
ENSMUSG00000068742	1320	172	239	240	261	861	918	1200
ENSMUSG00000084781	25	0	1	1	5	8	14	30
ENSMUSG00000049922	10201	12691	13741	12203	11341	10888	13409	10585
ENSMUSG00000027360	38	565	519	818	951	37	26	25
ENSMUSG00000085293	0	1	0	0	0	0	0	0
ENSMUSG00000080860	0	0	0	0	0	0	0	0
ENSMUSG00000099223	0	0	0	0	0	0	0	0
ENSMUSG00000098406	0	0	0	0	0	0	0	0
ENSMUSG00000027221	286	182	204	182	164	354	478	296
ENSMUSG00000085976	15	1	2	0	2	8	0	5
ENSMUSG00000086980	0	0	0	0	0	0	0	0
ENSMUSG00000082700	0	0	0	0	0	0	0	0
ENSMUSG00000027220	733	546	741	600	643	978	1215	751
ENSMUSG00000000194	4401	3249	3952	3059	2969	4512	4946	3954
ENSMUSG00000088891	0	0	3	1	0	0	0	2
ENSMUSG00000087430	0	0	0	0	0	2	0	0
ENSMUSG00000075028	155	69	91	81	101	132	165	135
ENSMUSG00000062661	280	214	175	172	124	339	404	282
ENSMUSG00000087559	0	0	0	0	0	0	0	0
ENSMUSG00000053141	368	121	125	104	36	554	656	169
ENSMUSG00000084919	0	0	0	0	0	2	0	0
ENSMUSG00000087536	0	0	0	0	0	0	0	0
ENSMUSG00000077143	0	0	0	0	0	0	0	0
ENSMUSG00000082296	0	0	0	2	0	0	0	0
ENSMUSG00002076506	0	0	0	0	0	0	0	0
ENSMUSG00000086030	0	0	0	0	0	0	0	0
ENSMUSG00000068735	7058	8953	10122	8738	9515	7483	9507	5901
ENSMUSG00000083567	176	142	126	162	150	136	254	174
ENSMUSG00000082514	0	0	0	0	0	0	0	0
ENSMUSG00000016921	6470	6914	7120	7623	7795	6264	7970	5788
ENSMUSG00000055632	6584	617	1270	1019	588	4954	6158	5168
ENSMUSG00000027217	420	130	202	128	86	541	497	469
ENSMUSG00002075750	0	0	0	0	0	0	0	0
ENSMUSG00000085852	66	15	38	24	29	34	69	46
ENSMUSG00000035576	5	4	2	2	3	2	16	14
ENSMUSG00000080962	0	0	0	0	2	0	2	0
ENSMUSG00000076441	1520	2607	2704	2855	3448	1823	2362	1195
ENSMUSG00000084226	0	0	0	0	0	0	0	0
ENSMUSG00000051747	9	4	12	14	24	26	29	53
ENSMUSG00000027361	937	1016	1130	1171	1136	1019	1188	792
ENSMUSG00002075206	3	0	2	0	0	0	0	0
ENSMUSG00000017868	2093	3094	2634	3010	3548	2470	2371	3943
ENSMUSG00000086354	0	0	0	0	0	0	0	0
ENSMUSG00000017858	1236	1136	1111	1011	1128	1408	1553	1187
ENSMUSG00000026843	1707	1666	2341	2093	1955	1870	2343	1489
ENSMUSG00000098904	0	0	1	0	1	0	0	4
ENSMUSG00000085224	0	0	0	0	0	0	0	0
ENSMUSG00000079466	0	0	0	0	0	0	0	0
ENSMUSG00000083143	0	0	0	0	0	0	0	0
ENSMUSG00000017861	434	1176	1534	1379	1296	533	747	284
ENSMUSG00000099091	0	0	0	0	0	0	0	0
ENSMUSG00000070708	0	0	0	0	0	0	0	0
ENSMUSG00002076785	0	0	0	0	0	0	0	0
ENSMUSG00000086036	0	0	10	0	0	0	0	0
ENSMUSG00000044033	261	126	206	112	137	196	219	268
ENSMUSG00002075103	0	0	0	0	0	0	0	0
ENSMUSG00000074607	82	71	92	80	96	115	128	84
ENSMUSG00000039356	545	1054	954	997	1161	663	745	624
ENSMUSG00000017817	3572	1014	1124	1020	851	3100	3369	3432
ENSMUSG00000087549	4	0	0	0	3	10	3	3
ENSMUSG00000035399	1040	747	887	701	847	883	1150	845
ENSMUSG00000027363	3592	2547	3418	3005	2861	3396	4255	3217
ENSMUSG00000042272	2474	965	1443	1247	962	2268	2678	2244
ENSMUSG00000084087	0	0	0	0	0	0	2	2
ENSMUSG00000081611	2	0	2	2	0	4	8	3
ENSMUSG00000085277	0	0	0	0	0	1	0	0
ENSMUSG00000082006	0	0	0	0	0	0	0	0
ENSMUSG00000027215	8532	7028	7399	6383	7315	7185	8144	8173
ENSMUSG00000017943	36	22	14	18	22	78	44	50
ENSMUSG00000048486	931	791	690	658	662	863	979	1131
ENSMUSG00000099238	4	2	2	2	1	2	0	2
ENSMUSG00000027364	10	1	6	2	2	4	6	0
ENSMUSG00000053353	4	0	1	2	0	1	0	0
ENSMUSG00000074846	0	0	0	0	0	0	0	0
ENSMUSG00000075025	2	0	2	7	3	1	5	4
ENSMUSG00000078949	8	39	30	31	30	1	4	6
ENSMUSG00000026842	6008	2611	4409	3374	3005	5462	7142	5619
ENSMUSG00000118600	0	0	0	0	0	0	0	0
ENSMUSG00000043102	12	3	5	10	7	10	12	8
ENSMUSG00000027016	224	243	242	369	348	202	251	195
ENSMUSG00000026841	20	6	12	12	4	32	48	38
ENSMUSG00000085845	0	0	0	0	0	0	0	3
ENSMUSG00000086356	0	0	0	0	0	0	0	1
ENSMUSG00000017950	29949	24485	29692	24949	22977	27545	34369	33837
ENSMUSG00000004113	552	141	174	178	156	548	626	287
ENSMUSG00000088408	0	0	1	1	0	0	0	1
ENSMUSG00000083973	0	0	0	0	0	0	0	0
ENSMUSG00000017679	1034	925	1141	986	953	974	1196	1221
ENSMUSG00000026840	79	18	24	30	30	191	287	142
ENSMUSG00000017707	26108	16078	20201	17492	15938	31122	35049	21193
ENSMUSG00000058812	12	1	12	5	4	7	14	9
ENSMUSG00000001864	33	21	12	8	12	43	35	44
ENSMUSG00000085737	0	0	0	0	0	0	0	0
ENSMUSG00000035268	1583	1699	1644	1722	1667	1752	2129	2024
ENSMUSG00000087129	0	0	4	0	4	4	2	8
ENSMUSG00000017697	265	748	895	706	926	317	405	304
ENSMUSG00000027365	4016	1638	2706	1983	1936	3677	4635	4373
ENSMUSG00000027656	10	188	118	74	107	6	18	24
ENSMUSG00000035238	0	0	0	0	0	2	0	0
ENSMUSG00000081894	0	0	0	0	0	0	0	0
ENSMUSG00000035226	324	45	30	79	95	318	502	204
ENSMUSG00000001855	1061	790	1278	990	949	1388	1708	1017
ENSMUSG00000018326	9840	10130	10449	10269	10843	10237	12539	9477
ENSMUSG00000081480	0	0	0	0	0	0	0	0
ENSMUSG00000086192	0	0	0	0	0	0	1	0
ENSMUSG00000027366	17550	15065	17442	15367	15753	18920	19209	26738
ENSMUSG00000054582	18	12	10	4	14	26	13	11
ENSMUSG00000098896	4	0	1	0	6	3	5	9
ENSMUSG00000050592	359	344	608	474	296	345	245	655
ENSMUSG00000090157	2	0	0	0	4	0	0	1
ENSMUSG00000099075	0	0	0	0	0	0	0	0
ENSMUSG00000082701	0	0	0	0	0	0	0	0
ENSMUSG00002075043	0	0	0	0	0	0	0	0
ENSMUSG00000082046	0	0	0	0	0	0	0	0
ENSMUSG00000051373	48	46	24	26	10	62	57	62
ENSMUSG00000084239	0	0	0	0	0	0	0	0
ENSMUSG00000084101	0	0	0	0	0	0	0	0
ENSMUSG00000018322	1055	1076	1000	937	983	1235	1431	1053
ENSMUSG00000027011	1560	1571	1351	1363	1637	1636	1927	1393
ENSMUSG00000102286	0	2	0	1	2	1	0	0
ENSMUSG00000083950	0	0	0	2	0	0	4	4
ENSMUSG00000080984	0	0	0	0	0	0	0	0
ENSMUSG00000083691	0	0	0	0	0	0	0	0
ENSMUSG00000018209	2784	2398	3233	2443	2787	2822	3433	2885
ENSMUSG00000085538	2	0	0	0	3	0	0	1
ENSMUSG00002076528	0	0	0	0	0	0	0	2
ENSMUSG00000040164	34	10	0	6	6	62	76	36
ENSMUSG00000040154	0	0	0	0	0	2	6	2
ENSMUSG00000085649	0	0	2	0	6	0	0	0
ENSMUSG00000042845	0	10	11	33	41	2	1	0
ENSMUSG00000001998	645	353	572	439	643	510	646	686
ENSMUSG00000051769	0	0	0	0	0	0	0	0
ENSMUSG00002076437	0	0	0	0	0	0	4	0
ENSMUSG00000018211	0	0	0	2	0	0	0	0
ENSMUSG00000040132	0	0	0	0	0	0	0	0
ENSMUSG00000027195	3872	7137	7143	6889	6975	4453	6109	3811
ENSMUSG00000050383	0	0	0	0	0	0	0	0
ENSMUSG00000016998	0	0	0	0	0	0	0	0
ENSMUSG00002075240	0	0	0	0	0	0	0	0
ENSMUSG00000065511	0	0	0	0	0	0	0	0
ENSMUSG00000106336	0	0	0	0	0	0	0	0
ENSMUSG00000076335	0	0	0	0	0	0	0	0
ENSMUSG00000017003	0	0	0	0	0	2	0	0
ENSMUSG00000027009	682	549	1365	1069	1161	829	1026	844
ENSMUSG00000017000	0	0	0	1	0	0	0	0
ENSMUSG00000017004	0	0	0	0	0	0	0	0
ENSMUSG00000001999	664	1065	1022	1087	1180	671	819	716
ENSMUSG00000017002	86	997	1078	2012	3674	72	115	73
ENSMUSG00000098489	0	1	0	3	1	0	1	0
ENSMUSG00000075256	23	7	16	8	8	10	32	15
ENSMUSG00000088915	0	0	0	0	0	0	0	1
ENSMUSG00000081284	0	0	0	0	0	0	0	0
ENSMUSG00000034701	195	40	80	58	59	180	198	94
ENSMUSG00000034906	842	1212	1561	1371	1593	1127	1423	1024
ENSMUSG00000074825	213	324	360	292	294	221	294	258
ENSMUSG00000027194	2201	1297	1768	1401	1148	2273	2728	1854
ENSMUSG00000044145	28	38	30	28	11	42	48	26
ENSMUSG00000081476	56	84	92	108	98	42	80	54
ENSMUSG00000016995	144	56	14	31	36	139	222	84
ENSMUSG00000027193	4769	4627	5280	4607	5110	4934	6274	4704
ENSMUSG00002076416	0	0	0	0	0	0	0	0
ENSMUSG00000017007	9	2	3	6	4	15	6	16
ENSMUSG00000083204	0	0	0	0	0	0	0	0
ENSMUSG00000077678	0	0	0	0	0	0	0	0
ENSMUSG00000087069	0	0	0	0	0	0	0	0
ENSMUSG00000119846	0	0	0	0	0	0	0	0
ENSMUSG00000084906	0	0	0	0	0	0	0	0
ENSMUSG00000081757	0	0	0	0	0	0	0	0
ENSMUSG00000083846	0	0	0	0	0	0	0	0
ENSMUSG00000087537	0	0	0	0	0	0	0	0
ENSMUSG00000017009	10298	5733	6176	5325	5327	11113	10558	7591
ENSMUSG00000104258	0	0	0	0	0	0	0	0
ENSMUSG00000082327	0	0	0	0	0	0	0	0
ENSMUSG00000050587	78	16	18	36	10	110	111	92
ENSMUSG00000091061	0	0	0	0	0	0	0	0
ENSMUSG00000003660	3356	2939	4259	3433	3782	4443	5721	3340
ENSMUSG00000091288	0	0	0	0	0	0	0	0
ENSMUSG00000090449	0	0	0	0	0	0	0	0
ENSMUSG00002076404	0	0	0	0	0	0	0	0
ENSMUSG00000088633	0	0	0	0	0	0	0	0
