Geneid	Cb_1	Cb_3_1	Cb_4_1	Cb_5_1	Cb_6	Control_4	Control_5_1	Control_6_1	Control_7_1	Control_8_1	Ox_1_1	Ox_3_1	Ox_4	Ox_7	Ox_8
ENSMUSG00000087063	1	0	2	0	0	1	2	0	0	1	0	0	0	0	0
ENSMUSG00000087336	2	2	6	2	0	6	4	5	10	2	5	2	10	1	2
ENSMUSG00000029438	470	367	389	278	476	637	688	838	663	804	623	592	269	418	478
ENSMUSG00000065191	3	1	4	2	5	8	22	17	16	11	8	10	3	7	5
ENSMUSG00000029227	2248	1736	1741	1611	1919	1612	1901	1983	1732	1675	1628	1821	2015	1525	1844
ENSMUSG00000104830	0	14	12	2	2	14	10	12	14	17	5	5	0	12	0
ENSMUSG00000059866	695	543	486	574	624	670	666	529	608	604	688	592	1211	643	621
ENSMUSG00000086700	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000107165	2	7	6	7	2	1	8	4	1	6	16	5	4	5	4
ENSMUSG00000011831	1657	1226	1563	1166	999	1219	1488	1186	1277	1338	995	1266	1237	969	926
ENSMUSG00000106288	4	2	8	2	0	2	4	2	4	4	1	5	0	2	0
ENSMUSG00000063447	0	0	0	4	0	0	2	0	0	2	0	4	0	0	0
ENSMUSG00000083609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104748	0	0	0	0	2	4	1	2	0	0	2	0	0	0	3
ENSMUSG00000002297	1489	1419	1242	1176	1325	439	518	677	566	480	851	780	868	715	1150
ENSMUSG00000058558	17825	14912	15739	14303	17170	20200	20297	19342	18764	17242	17516	18033	33898	18910	20646
ENSMUSG00000064453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077222	27	23	21	17	23	18	17	29	38	16	28	28	14	12	18
ENSMUSG00000077426	13	14	7	11	11	5	13	7	11	12	7	10	27	15	6
ENSMUSG00000038342	3409	2965	3337	3053	2924	7165	7935	8342	8604	8618	4745	5444	3852	2527	2702
ENSMUSG00000106254	1	2	0	16	2	5	25	11	18	23	5	3	2	2	4
ENSMUSG00000104940	6	4	10	0	2	3	4	3	2	13	4	2	0	0	0
ENSMUSG00000106636	21	4	4	10	8	19	64	26	61	47	30	13	18	50	34
ENSMUSG00000029270	338	351	420	448	290	390	497	447	541	472	209	341	201	292	297
ENSMUSG00000084855	0	0	3	0	0	0	0	0	2	0	0	3	0	0	2
ENSMUSG00000082532	2	1	0	1	6	1	10	4	10	6	0	8	5	2	6
ENSMUSG00000096920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029437	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000054520	834	773	713	789	612	414	362	393	319	427	697	492	829	624	499
ENSMUSG00000088332	1	1	0	0	0	0	2	0	0	0	1	0	0	0	1
ENSMUSG00000054099	611	487	494	523	502	820	868	920	959	924	466	561	176	277	275
ENSMUSG00000040570	330	183	287	224	346	683	1202	931	871	826	774	324	764	182	218
ENSMUSG00000105740	2	0	2	0	0	4	2	0	0	2	1	2	1	4	0
ENSMUSG00000063409	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000086753	58	34	62	34	43	97	103	97	91	83	75	78	124	58	72
ENSMUSG00000041505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040584	3180	2142	3717	2358	2737	25923	33349	26541	24160	23938	10354	5305	5617	947	1427
ENSMUSG00000079091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105392	2	0	0	0	0	6	5	1	7	16	3	2	0	0	0
ENSMUSG00000104535	18	4	7	6	5	110	149	87	117	121	54	13	28	1	12
ENSMUSG00000097279	1	0	0	0	4	2	1	0	1	0	0	1	0	2	0
ENSMUSG00000028970	61	85	81	60	69	109	139	84	109	83	111	186	249	138	146
ENSMUSG00000105870	0	0	0	0	0	0	0	2	0	0	0	0	6	0	1
ENSMUSG00000029228	436	316	402	425	328	619	735	750	857	922	603	424	558	279	286
ENSMUSG00000029433	116	83	100	93	107	107	169	161	200	158	131	138	141	126	129
ENSMUSG00000029431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085657	0	0	2	0	0	2	0	0	2	1	0	5	0	1	0
ENSMUSG00000085497	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000114278	30	8	24	16	13	45	53	43	83	32	49	77	77	62	55
ENSMUSG00002076894	2	2	1	2	0	1	3	4	3	2	3	0	0	3	1
ENSMUSG00000106987	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0
ENSMUSG00000098951	1	0	0	4	0	0	0	1	6	0	0	1	0	0	0
ENSMUSG00000106806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072874	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107306	0	6	6	0	8	7	22	16	20	13	6	25	40	14	4
ENSMUSG00000029229	1099	861	945	796	936	961	1329	1217	1189	997	971	1086	2276	1069	1104
ENSMUSG00000107205	0	6	14	10	8	16	5	10	10	3	4	4	2	8	0
ENSMUSG00000107162	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000042476	22	4	28	6	24	12	23	31	22	33	13	11	6	2	7
ENSMUSG00000106664	2	0	0	0	2	4	6	4	0	0	1	0	0	0	0
ENSMUSG00000035946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107192	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029434	1942	1526	1700	1608	1585	1505	1507	1427	1414	1475	1132	1293	899	1132	1267
ENSMUSG00000104704	6	8	5	2	4	5	5	6	9	8	5	4	0	6	0
ENSMUSG00000003623	1287	1078	1342	1273	1076	1527	1784	1656	1760	1605	1050	1166	974	737	818
ENSMUSG00000078183	16	13	15	6	28	19	13	14	19	23	12	19	24	38	33
ENSMUSG00000102921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114430	6	0	6	0	0	0	0	0	0	0	0	0	6	0	0
ENSMUSG00000079659	858	659	809	793	668	887	1138	921	1069	934	511	511	481	425	502
ENSMUSG00000096664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029267	926	809	988	869	887	1049	1428	1199	1180	1108	975	882	382	627	645
ENSMUSG00000063406	3048	2544	2273	2167	2547	966	1096	1174	1039	1006	2219	1494	2335	1806	2113
ENSMUSG00000056531	166	173	147	128	139	110	168	123	198	150	135	152	11	87	135
ENSMUSG00000105554	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000105188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029265	2291	1788	1839	1638	1646	1521	1915	1696	1644	1539	1832	1826	1288	1060	1544
ENSMUSG00000106103	19	0	9	0	20	16	13	8	15	8	11	11	4	23	14
ENSMUSG00000095557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094090	44	24	12	14	16	14	8	16	10	12	10	15	26	22	14
ENSMUSG00000041468	2	2	4	2	0	2	0	2	2	2	0	0	0	0	0
ENSMUSG00000105907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106020	0	0	0	0	4	0	2	3	0	6	3	6	2	1	0
ENSMUSG00000029106	9682	7423	8331	7444	8223	11507	12834	12296	12493	11960	8509	9239	4465	6816	6798
ENSMUSG00000029263	1140	937	937	1076	795	982	1064	1031	1181	1062	756	863	197	411	523
ENSMUSG00000099082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104904	2	2	6	0	2	3	2	0	2	1	0	4	8	0	8
ENSMUSG00000107128	0	2	10	4	0	7	1	0	0	4	3	1	0	8	2
ENSMUSG00000106304	2	6	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105867	126	147	151	174	216	31	22	22	42	17	15	47	14	23	26
ENSMUSG00000029640	4822	4151	4199	4424	4342	3341	3829	4301	3633	3512	4504	3287	2851	1972	2526
ENSMUSG00000029491	5	17	4	6	5	11	13	3	15	15	10	8	8	5	1
ENSMUSG00000050856	1429	1224	1411	985	1530	834	898	986	783	892	802	1294	592	1442	1733
ENSMUSG00000118523	8	6	6	4	10	19	12	13	27	24	7	12	4	1	3
ENSMUSG00000029231	1014	972	1018	883	1024	1428	2118	2163	1810	2098	1519	1729	706	1676	880
ENSMUSG00000029490	388	293	469	364	473	728	750	742	807	825	272	252	105	231	177
ENSMUSG00000106760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107245	0	1	0	0	0	0	0	0	3	4	0	0	0	1	0
ENSMUSG00000099060	0	1	0	0	0	0	0	0	3	0	1	1	1	1	0
ENSMUSG00000106704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082	1465	1236	1130	924	1401	984	979	928	986	709	1051	1133	1734	1905	1799
ENSMUSG00000016510	803	641	629	549	682	700	738	720	659	540	587	603	631	558	640
ENSMUSG00000033623	4650	4330	3713	4261	3647	2964	3746	3683	3681	3265	3946	3210	1320	1880	2302
ENSMUSG00000060730	4	2	2	0	2	0	0	0	0	0	0	2	2	0	0
ENSMUSG00000016520	1710	1414	1268	1188	1471	1364	1320	1612	1317	1339	1850	1168	2367	818	1210
ENSMUSG00000033615	24	30	14	14	28	48	38	48	72	54	36	62	186	114	80
ENSMUSG00000105590	2	0	0	0	0	0	2	6	2	0	2	0	2	0	0
ENSMUSG00000036693	1016	758	748	628	956	521	663	641	665	617	856	897	1219	920	981
ENSMUSG00000085166	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000029642	4253	3277	3371	2800	3619	3446	4000	3739	3413	3270	3714	4016	6579	4846	5382
ENSMUSG00000083988	7	0	5	0	8	4	9	8	4	4	8	0	4	2	7
ENSMUSG00000053129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092570	7	10	6	2	20	30	51	47	31	24	20	19	8	8	10
ENSMUSG00000029644	16	4	9	2	4	15	14	0	13	0	56	25	4	4	8
ENSMUSG00000098053	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0
ENSMUSG00000098687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029646	2379	1650	1776	1283	1896	2114	1875	2194	1844	1547	4084	1747	1744	1202	2335
ENSMUSG00000075543	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000106939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000052783	30	23	17	12	31	86	83	64	98	81	41	75	34	83	49
ENSMUSG00000107246	0	0	0	1	0	2	6	2	4	1	0	6	0	0	0
ENSMUSG00000119404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042817	70	44	115	23	73	59	23	41	16	38	10	6	2	22	10
ENSMUSG00000097228	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000057157	4	2	4	0	1	4	10	9	2	7	2	3	9	5	3
ENSMUSG00000107037	6	0	0	2	1	0	3	7	2	2	3	0	0	0	0
ENSMUSG00000107336	18	3	11	22	14	26	21	24	31	22	17	26	10	6	10
ENSMUSG00000106891	25	43	33	24	25	36	54	33	40	22	36	44	17	37	18
ENSMUSG00000049550	2261	2093	2203	2143	1813	2050	2748	2457	2478	2316	2412	2144	2165	1366	1521
ENSMUSG00000084552	0	0	0	0	0	2	4	0	3	3	0	2	0	2	0
ENSMUSG00000104877	0	10	4	2	0	2	0	4	0	0	0	6	4	0	4
ENSMUSG00000104694	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000005672	706	446	820	425	650	2427	2531	2029	2320	2162	951	1295	395	724	517
ENSMUSG00000107251	2	2	0	0	0	6	8	6	10	4	2	8	8	30	13
ENSMUSG00000106726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000062234	8922	7320	7997	7364	7306	7732	8897	8743	8240	7782	6682	6408	9540	4703	6008
ENSMUSG00000029104	3553	3656	3663	3443	2969	3292	4443	4180	4155	3851	3661	3031	2608	1985	2229
ENSMUSG00000105084	0	4	0	5	0	2	2	2	4	0	0	2	0	2	0
ENSMUSG00000062960	346	271	424	219	297	715	806	874	777	832	361	442	197	302	314
ENSMUSG00002075417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107020	5	3	0	2	2	2	0	5	0	4	0	1	0	0	2
ENSMUSG00000051246	36	25	48	32	18	229	192	120	199	193	46	93	148	71	22
ENSMUSG00000029427	1979	1803	1671	1612	1849	1824	1907	1963	1900	1673	1491	1702	1031	1346	1763
ENSMUSG00000029233	1006	815	894	738	939	810	867	810	824	740	518	692	456	761	917
ENSMUSG00000013495	527	422	465	315	404	728	756	681	730	747	358	561	180	433	399
ENSMUSG00000029234	2554	1764	2006	1773	2155	1663	1836	1796	1811	1570	2215	1865	1009	1626	1757
ENSMUSG00000083152	2	9	2	2	4	5	9	9	10	9	9	13	7	1	4
ENSMUSG00000042508	1032	890	779	910	903	1034	1339	1107	1183	1216	1188	1035	695	476	598
ENSMUSG00000089562	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000080875	130	66	41	27	74	15	16	25	10	18	25	40	26	99	65
ENSMUSG00000089926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029647	1704	1538	1733	1528	1556	2875	3270	3157	3051	3347	1854	2419	1977	1415	1572
ENSMUSG00000107085	0	1	1	5	0	0	0	0	0	2	1	0	0	0	0
ENSMUSG00000004815	848	851	903	974	872	979	1393	1392	1511	1520	1211	756	720	371	293
ENSMUSG00000029238	4369	4013	4179	3933	3673	5175	7276	6938	6894	6840	4014	4104	2527	2261	2508
ENSMUSG00000106831	185	80	38	35	102	20	38	31	28	43	17	50	28	59	33
ENSMUSG00000106815	2	8	0	0	6	16	11	4	0	12	6	8	4	18	1
ENSMUSG00000098449	18	14	13	9	2	30	54	28	26	14	22	13	9	24	7
ENSMUSG00000029235	2	3	0	0	2	2	6	2	1	7	0	2	6	8	8
ENSMUSG00000087037	0	0	0	0	0	3	4	11	3	8	2	1	0	3	8
ENSMUSG00000029236	23	20	12	16	17	75	70	34	38	92	80	90	235	135	79
ENSMUSG00000107160	0	0	0	0	0	0	0	0	0	2	0	0	0	4	2
ENSMUSG00000106982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029648	354	320	328	441	254	621	795	806	648	740	598	370	462	304	298
ENSMUSG00000091204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029649	4565	3820	3698	4263	3982	2153	1862	2069	1899	1649	2659	3333	3041	5318	5082
ENSMUSG00000107079	0	0	4	4	3	1	1	3	4	6	3	4	2	0	0
ENSMUSG00000033540	409	284	342	298	323	584	541	507	628	533	277	412	219	408	264
ENSMUSG00000029650	290	231	262	202	203	364	369	365	376	275	302	245	119	142	120
ENSMUSG00000085565	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ENSMUSG00000046959	7	16	13	15	16	12	36	21	33	23	15	26	12	1	19
ENSMUSG00000056004	68	37	36	60	40	96	106	98	82	86	82	159	134	102	66
ENSMUSG00000086115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000008090	340	238	255	240	324	427	399	397	357	367	483	385	1040	643	405
ENSMUSG00000003974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106637	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSMUSG00000089399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073226	4	2	1	0	10	1	0	0	2	4	0	0	0	0	0
ENSMUSG00000100895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069355	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSMUSG00000105157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105536	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000055385	11	20	33	13	16	34	28	40	47	32	0	0	6	4	0
ENSMUSG00000106274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036435	1685	1633	1745	1564	1493	1752	1875	1727	1813	1674	1469	1635	1314	1038	1436
ENSMUSG00000090961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029101	219	145	237	132	211	260	331	307	326	215	133	304	232	469	514
ENSMUSG00000095710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091933	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000093097	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSMUSG00000107040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105808	1	0	0	2	0	0	0	0	0	2	0	0	0	0	5
ENSMUSG00000105193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105705	0	0	6	0	0	1	0	0	1	0	0	0	0	0	0
ENSMUSG00000104982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029651	179	145	235	158	102	221	245	263	333	352	235	256	324	148	228
ENSMUSG00000091635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029102	6989	5352	6195	5838	6196	7351	6237	5989	6752	5559	6110	5962	3412	4154	4241
ENSMUSG00000066554	34	28	22	16	24	20	16	24	22	14	14	16	64	40	28
ENSMUSG00000107033	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ENSMUSG00000036403	525	474	562	466	451	401	576	478	479	459	291	417	170	323	346
ENSMUSG00000091059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103529	124	66	83	38	64	65	91	50	57	54	14	30	5	19	54
ENSMUSG00000093543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096846	2	1	4	0	6	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000105564	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095829	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044716	378	264	269	318	391	292	340	296	311	281	955	382	2933	411	487
ENSMUSG00000106351	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000106034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041313	2407	2363	2046	2089	2380	1170	1361	1546	1351	1009	2814	1572	3635	1226	1606
ENSMUSG00000106956	3	1	2	2	1	0	4	2	0	0	0	0	0	0	0
ENSMUSG00000091879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105303	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093688	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000106028	8	22	14	14	6	6	2	14	6	3	2	9	9	9	10
ENSMUSG00000096732	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104601	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000105549	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0
ENSMUSG00000105688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036377	4673	3814	4151	3744	4072	5609	6288	6094	6617	5761	2537	2969	784	1142	1737
ENSMUSG00000083874	0	2	0	0	0	2	3	0	2	7	2	0	0	2	0
ENSMUSG00000001687	3754	2675	2977	2657	3081	3981	4800	4151	4194	3962	2797	2724	3261	2252	2683
ENSMUSG00000106899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095296	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033467	734	558	675	652	773	247	202	172	227	196	371	529	448	894	728
ENSMUSG00000094409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029103	1719	983	1380	1044	1443	2293	2466	2020	2145	2050	1546	1592	1953	1746	1665
ENSMUSG00002075066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072763	18	18	28	12	29	67	64	42	54	50	8	38	8	45	40
ENSMUSG00000045318	8	2	8	4	8	42	16	56	28	24	8	18	20	26	6
ENSMUSG00000091903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072762	58	59	117	80	55	105	139	86	94	140	53	73	27	66	53
ENSMUSG00000104774	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049477	8	0	0	0	1	0	6	3	0	4	6	2	4	3	5
ENSMUSG00000105299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105044	8	8	6	12	2	8	5	1	5	4	0	8	0	0	7
ENSMUSG00000106762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097140	10	4	2	16	9	26	20	21	50	13	31	9	13	11	2
ENSMUSG00000055944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090015	189	176	177	142	162	333	336	278	279	294	153	167	107	197	155
ENSMUSG00000097863	2	4	3	4	0	29	10	8	8	12	0	0	4	12	2
ENSMUSG00000067438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103608	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000106970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099391	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066613	291	242	230	201	330	470	519	405	425	377	302	309	76	267	305
ENSMUSG00000105364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036596	0	0	2	0	0	0	10	4	13	6	2	2	24	44	6
ENSMUSG00000106928	78	76	58	28	56	98	102	67	85	90	86	89	423	92	72
ENSMUSG00000083907	48	18	32	22	47	58	74	42	48	33	21	32	147	19	27
ENSMUSG00000094205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106410	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0
ENSMUSG00000029097	399	359	342	415	338	242	346	338	350	358	402	360	207	248	321
ENSMUSG00000106026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055061	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
ENSMUSG00000067848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105171	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
ENSMUSG00000099516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055923	309	292	257	242	259	536	742	593	693	656	319	431	103	275	249
ENSMUSG00000040254	88	46	70	26	64	116	204	141	143	120	152	128	78	74	94
ENSMUSG00000105854	2	7	14	5	4	2	18	4	20	8	11	5	16	10	25
ENSMUSG00000029246	1348	1146	996	963	1442	780	953	1026	978	819	1220	1269	621	892	1414
ENSMUSG00000104632	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000105237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
